id,on_site_interviews,faculty_offers,covid_offers_rescinded,offer_responses,race_ethnicity,R1_apps_submitted,PUI_apps_submitted,gender,research_category,covid_alter_research,position,first_gen_phd,commitment_impact
794,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,NA
795,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Man,Biological Sciences,NA,NA,No,NA
796,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Geosciences,NA,PhD Candidate (ABD),Yes,NA
797,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Integrated Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
798,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,NA
799,0,0,0,I did not recieve any offers,Caucasian-American/European,2,0,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Become weaker
800,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Biological Sciences,NA,Postdoc,Yes,NA
801,1,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/North African or Middle Eastern,9,1,Woman,Biological Sciences,NA,Postdoc,No,Not changed
802,1,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,2,0,Woman,Engineering,Not at all,Postdoc,Yes,Become stronger
803,4,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/North African or Middle Eastern,24,0,Woman,Biological Sciences,Not at all,Postdoc,Yes,Not changed
804,1,0,0,I did not recieve any offers,"Caucasian-American/European,South/Central American,North American Hispanic/Latinx",2,1,Woman,Biological Sciences,NA,Postdoc,Yes,Become weaker
805,4,1,0,I accepted an offer at a research-intensive institution,Asian-American/Asian,24,0,Woman,Engineering,Not at all,Postdoc,Yes,Become weaker
806,3,1,1,NA,Caucasian-American/European,48,5,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
807,10,3,NA,I accepted an offer at a research-intensive institution,Asian-American/Asian,18,0,Man,Biological Sciences,NA,Postdoc,Yes,Become stronger
808,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Engineering,NA,Postdoc,Yes,NA
809,NA,NA,NA,NA,Not Listed,NA,NA,Woman,Biological Sciences,NA,NA,Yes,NA
810,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,Biological Sciences,NA,NA,Yes,NA
811,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Man,Biological Sciences,NA,Postdoc,Yes,NA
812,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Biological Sciences,NA,Postdoc,Yes,NA
813,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Engineering,NA,Postdoc,Yes,NA
814,NA,NA,NA,NA,"Caucasian-American/European,African-American/Black/African",0,0,Non-binary,Biological Sciences,NA,NA,Yes,NA
815,6,3,1,I accepted an offer at a research-intensive institution,"Caucasian-American/European,Caucasian-American/North African or Middle Eastern",60,5,Man,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
816,0,0,0,I did not recieve any offers,Caucasian-American/European,0,0,Man,Biological Sciences,NA,Postdoc,Yes,NA
817,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Man,Biological Sciences,NA,Postdoc,Yes,NA
818,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Biological Sciences,NA,NA,Yes,NA
819,3,2,1,I accepted an offer at a research-intensive institution,Asian-American/Asian,24,0,Woman,Biological Sciences,NA,Postdoc,Yes,NA
820,7,0,NA,I did not recieve any offers,Asian-American/Asian,30,0,Woman,Biological Sciences,Not at all,Postdoc,Yes,Not changed
821,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Man,Mathematical & Physical Sciences,NA,Postdoc,Unsure,NA
822,2,0,0,I did not recieve any offers,African-American/Black/African,7,3,Man,Engineering,Not at all,PhD Candidate (ABD),Yes,Become stronger
823,0,0,0,NA,Caucasian-American/North African or Middle Eastern,0,0,Man,Engineering,Not at all,PhD Candidate (ABD),Yes,NA
824,0,NA,NA,I did not recieve any offers,Caucasian-American/European,10,0,Man,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Not changed
825,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
826,0,0,NA,I did not recieve any offers,Caucasian-American/European,0,0,Man,Chemistry,NA,PhD Candidate (ABD),Yes,Not changed
827,0,0,0,I did not recieve any offers,Caucasian-American/European,7,1,Man,Biological Sciences,NA,Postdoc,Yes,Become stronger
828,NA,NA,NA,NA,African-American/Black/African,NA,NA,Man,Biological Sciences,NA,Postdoc,Yes,NA
829,2,2,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because of spouse/partner job prospects,I rejected offer(s) because of other family needs",Asian-American/Asian,3,3,Man,Biological Sciences,NA,Postdoc,Yes,Become stronger
830,NA,NA,NA,NA,South/Central American,NA,NA,Woman,Engineering,NA,PhD Candidate (ABD),Yes,NA
831,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Mathematical & Physical Sciences,NA,PhD Candidate (ABD),Yes,NA
832,1,0,NA,I did not recieve any offers,Caucasian-American/European,4,0,Woman,Biological Sciences,Not at all,Postdoc,No,NA
833,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,Biological Sciences,NA,PhD Candidate (ABD),Yes,NA
